pathway_id	gene_id	counts	symbol	kegg_id	flybase_id				
dme00020	41360	4	CG5214	CG5214	FBgn0037891				
dme00020	34021	5	CG5261	CG5261	FBgn0031912				
dme00020	39281	4	CG6140	CG6140	FBgn0036162				
dme00020	42326	4	CG6255	CG6255	FBgn0038708				
dme00020	42586	5	CG6439	CG6439	FBgn0038922				
dme00020	41324	4	CG6629	CG6629	FBgn0037860				
dme00020	31407	5	CG7024	CG7024	FBgn0029722				
dme00020	42808	4	Dpse\GA10165	CG10219	FBgn0070224				
dme00020	37228	4	Dpse\GA14410	CG17246	FBgn0074438				
dme00020	35590	4	Dpse\GA17170	CG3283	FBgn0077184				
dme00020	39348	4	Dpse\GA19081	CG5718	FBgn0079079				
dme00020	38447	4	Dpse\GA23751	CG1065	FBgn0245150				
dme00020	39899	5	Dsim\CG11661	CG11661	FBgn0086179				
dme00020	39988	7	Dsim\CG7430	CG7430	FBgn0086185				
dme00020	41340	4	Dyak\GE24640	CG6666	FBgn0068269				
dme00020	44291	7	Idh	CG7176	FBgn0001248				
dme00020	42689	6	Irp-1A	CG4900	FBgn0024958				
dme00020	41269	6	Irp-1B	CG6342	FBgn0024957				
dme00020	31579	6	kdn	CG3861	FBgn0261955				
dme00020	32940	5	l(1)G0156	CG12233	FBgn0027291				
dme00020	31605	4	l(1)G0255	CG4094	FBgn0028336				
dme00020	31406	5	l(1)G0334	CG7010	FBgn0028325				
dme00020	34414	6	Mdh1	CG5362	FBgn0262782				
dme00020	42185	6	Mdh2	CG7998	FBgn0262559				
dme00020	36020	5	PCB	CG1516	FBgn0027580				
dme00020	37131	5	Pepck	CG17725	FBgn0003067				
dme00020	37130	5	Pepck	CG10924	FBgn0003067				
dme00020	32887	4	SdhBL	CG7349	FBgn0030975				
dme00020	41067	4	skap	CG11963	FBgn0037643				
dme00020	44001	4	Sucb	CG10622	FBgn0029118				
dme00030	43183	6	Ald	CG6058	FBgn0000064				
dme00030	32422	2	CG12398	CG12398	FBgn0030596				
dme00030	32412	2	CG12539	CG12539	FBgn0030586				
dme00030	31007	1	CG13369	CG13369	FBgn0025640				
dme00030	37166	5	CG15093	CG15093	FBgn0034390				
dme00030	34650	1	CG17010	CG17010	FBgn0032424				
dme00030	35692	5	CG30499	CG30499	FBgn0050499				
dme00030	40012	4	CG5103	CG5103	FBgn0036784				
dme00030	43189	6	CG5432	CG5432	FBgn0039425				
dme00030	39132	5	CG6767	CG6767	FBgn0036030				
dme00030	40445	4	CG7140	CG7140	FBgn0037147				
dme00030	41027	4	CG8036	CG8036	FBgn0037607				
dme00030	36358	1	CG8525	CG8525	FBgn0033735				
dme00030	32013	3	Dyak\GE17861	CG17333	FBgn0068387				
dme00030	37804	4	Dyak\Tal	CG2827	FBgn0068023				
dme00030	35265	5	fbp	CG31692	FBgn0032820				
dme00030	36060	7	Pfk	CG4001	FBgn0003071				
dme00030	31185	4	Pgd	CG3724	FBgn0004654				
dme00030	35886	6	Pgi	CG8251	FBgn0003074				
dme00030	44010	7	Pgm	CG5165	FBgn0003076				
dme00030	35923	7	Pmm45A	CG8073	FBgn0033377				
dme00030	246599	4	Rpi	CG30410	FBgn0050410				
dme00030	32974	4	Zw	CG12529	FBgn0004057				
dme00040	34256	13	Aldh	CG3752	FBgn0012036				
dme00040	36624	2	CG10131	CG10131	FBgn0033949				
dme00040	35105	9	CG10178	CG10178	FBgn0032684				
dme00040	38463	5	CG10863	CG10863	FBgn0027552				
dme00040	33993	9	CG11289	CG11289	FBgn0031887				
dme00040	38462	5	CG12766	CG12766	FBgn0035476				
dme00040	37197	7	CG15117	CG15117	FBgn0034417				
dme00040	37421	9	CG15661	CG15661	FBgn0034605				
dme00040	35138	9	CG17323	CG17323	FBgn0032713				
dme00040	43746	7	CG2135	CG2135	FBgn0039874				
dme00040	40946	5	CG2767	CG2767	FBgn0037537				
dme00040	35692	5	CG30499	CG30499	FBgn0050499				
dme00040	43708	9	CG31002	CG31002	FBgn0051002				
dme00040	43244	13	CG31075	CG31075	FBgn0051075				
dme00040	42047	2	CG3534	CG3534	FBgn0038463				
dme00040	33421	2	CG3609	CG3609	FBgn0031418				
dme00040	40079	9	CG3797	CG3797	FBgn0036842				
dme00040	37420	9	CG4302	CG4302	FBgn0027073				
dme00040	41573	9	CG5724	CG5724	FBgn0038082				
dme00040	41574	9	CG5999	CG5999	FBgn0038083				
dme00040	39305	5	CG6083	CG6083	FBgn0036183				
dme00040	42538	9	CG6475	CG6475	FBgn0038886				
dme00040	32880	2	CG7322	CG7322	FBgn0030968				
dme00040	35586	5	CG9436	CG9436	FBgn0033101				
dme00040	32592	2	CG9914	CG9914	FBgn0030737				
dme00040	39304	5	Dyak\GE20195	CG6084	FBgn0068282				
dme00040	38760	5	sgl	CG10072	FBgn0261445				
dme00040	40836	3	Sodh-1	CG1982	FBgn0024289				
dme00040	41313	3	Sodh-2	CG4649	FBgn0022359				
dme00040	39065	5	UGP	CG4347	FBgn0035978				
dme00040	41334	9	Ugt35a	CG6644	FBgn0026315				
dme00040	41333	9	Ugt35b	CG6649	FBgn0026314				
dme00040	53513	9	Ugt36Ba	CG13270	FBgn0040262				
dme00040	53512	9	Ugt36Bb	CG13271	FBgn0040261				
dme00040	53511	9	Ugt36Bc	CG17932	FBgn0040260				
dme00040	35307	9	Ugt37a1	CG11012	FBgn0026756				
dme00040	53584	9	Ugt37b1	CG9481	FBgn0026755				
dme00040	53583	9	Ugt37c1	CG8652	FBgn0026754				
dme00040	37590	9	Ugt58Fa	CG4414	FBgn0040091				
dme00040	53507	9	Ugt86Dd	CG6633	FBgn0040256				
dme00040	53506	9	Ugt86De	CG6653	FBgn0040255				
dme00040	53504	9	Ugt86Dg	CG17200	FBgn0040253				
dme00040	53503	9	Ugt86Dh	CG4772	FBgn0040252				
dme00040	53502	9	Ugt86Di	CG6658	FBgn0040251				
dme00040	53501	9	Ugt86Dj	CG15902	FBgn0040250				
dme00051	43183	6	Ald	CG6058	FBgn0000064				
dme00051	39436	3	CG10688	CG10688	FBgn0036300				
dme00051	38463	5	CG10863	CG10863	FBgn0027552				
dme00051	40599	3	CG1129	CG1129	FBgn0037279				
dme00051	39279	2	CG12289	CG12289	FBgn0036160				
dme00051	38462	5	CG12766	CG12766	FBgn0035476				
dme00051	35706	4	CG2070	CG2070	FBgn0033203				
dme00051	43189	6	CG5432	CG5432	FBgn0039425				
dme00051	39305	5	CG6083	CG6083	FBgn0036183				
dme00051	40204	2	CG7328	CG7328	FBgn0036942				
dme00051	40203	2	CG7335	CG7335	FBgn0036941				
dme00051	39280	2	CG7551	CG7551	FBgn0036161				
dme00051	36730	3	CG8207	CG8207	FBgn0034035				
dme00051	35586	5	CG9436	CG9436	FBgn0033101				
dme00051	39304	5	Dyak\GE20195	CG6084	FBgn0068282				
dme00051	41192	3	Dyak\GE25982	CG8417	FBgn0068220				
dme00051	35265	5	fbp	CG31692	FBgn0032820				
dme00051	33716	3	Gmd	CG8890	FBgn0031661				
dme00051	37638	3	Gmer	CG3495	FBgn0267823				
dme00051	45875	7	Hex-A	CG3001	FBgn0001186				
dme00051	44008	7	Hex-C	CG8094	FBgn0001187				
dme00051	117364	7	Hex-t1	CG33102	FBgn0042711				
dme00051	43191	7	Hex-t2	CG32849	FBgn0042710				
dme00051	36060	7	Pfk	CG4001	FBgn0003071				
dme00051	32938	1	Pfrx	CG3400	FBgn0027621				
dme00051	40836	3	Sodh-1	CG1982	FBgn0024289				
dme00051	41313	3	Sodh-2	CG4649	FBgn0022359				
dme00051	43582	6	Tpi	CG2171	FBgn0086355				
dme00052	38697	3	CG10467	CG10467	FBgn0035679				
dme00052	38463	5	CG10863	CG10863	FBgn0027552				
dme00052	32345	3	CG10996	CG10996	FBgn0030525				
dme00052	38462	5	CG12766	CG12766	FBgn0035476				
dme00052	261603	3	CG32445	CG32445	FBgn0052445				
dme00052	34586	3	CG4988	CG4988	FBgn0032372				
dme00052	39305	5	CG6083	CG6083	FBgn0036183				
dme00052	42220	3	CG7685	CG7685	FBgn0038619				
dme00052	36829	5	CG7997	CG7997	FBgn0034117				
dme00052	35586	5	CG9436	CG9436	FBgn0033101				
dme00052	35829	3	Dsec\CG11669	CG11669	FBgn0261236				
dme00052	34598	3	Dsec\CG14935	CG14935	FBgn0261209				
dme00052	39031	3	Dsec\CG5288	CG5288	FBgn0261216				
dme00052	40406	3	Dsim\CG32444	CG32444	FBgn0084362				
dme00052	35827	3	Dsim\CG8693	CG8693	FBgn0259766				
dme00052	39304	5	Dyak\GE20195	CG6084	FBgn0068282				
dme00052	41457	7	Ect3	CG3132	FBgn0260746				
dme00052	33476	5	G6P	CG15400	FBgn0031463				
dme00052	33839	7	Gal	CG9092	FBgn0001089				
dme00052	38076	3	Gale	CG12030	FBgn0035147				
dme00052	33935	3	Galt	CG9232	FBgn0263200				
dme00052	45875	7	Hex-A	CG3001	FBgn0001186				
dme00052	44008	7	Hex-C	CG8094	FBgn0001187				
dme00052	117364	7	Hex-t1	CG33102	FBgn0042711				
dme00052	43191	7	Hex-t2	CG32849	FBgn0042710				
dme00052	35824	3	Mal-A1	CG8696	FBgn0002570				
dme00052	35825	3	Mal-A2	CG8694	FBgn0002569				
dme00052	35826	3	Mal-A3	CG8695	FBgn0002571				
dme00052	35830	3	Mal-A8	CG8690	FBgn0033297				
dme00052	34597	3	Mal-B1	CG14934	FBgn0032381				
dme00052	36060	7	Pfk	CG4001	FBgn0003071				
dme00052	44010	7	Pgm	CG5165	FBgn0003076				
dme00052	35923	7	Pmm45A	CG8073	FBgn0033377				
dme00052	43072	3	tobi	CG11909	FBgn0261575				
dme00052	39065	5	UGP	CG4347	FBgn0035978				
dme00053	34256	13	Aldh	CG3752	FBgn0012036				
dme00053	35105	9	CG10178	CG10178	FBgn0032684				
dme00053	33993	9	CG11289	CG11289	FBgn0031887				
dme00053	37421	9	CG15661	CG15661	FBgn0034605				
dme00053	35138	9	CG17323	CG17323	FBgn0032713				
dme00053	43708	9	CG31002	CG31002	FBgn0051002				
dme00053	43244	13	CG31075	CG31075	FBgn0051075				
dme00053	40079	9	CG3797	CG3797	FBgn0036842				
dme00053	37420	9	CG4302	CG4302	FBgn0027073				
dme00053	41573	9	CG5724	CG5724	FBgn0038082				
dme00053	41574	9	CG5999	CG5999	FBgn0038083				
dme00053	42538	9	CG6475	CG6475	FBgn0038886				
dme00053	39391	2	CG6910	CG6910	FBgn0036262				
dme00053	40097	15	CG9629	CG9629	FBgn0036857				
dme00053	38760	5	sgl	CG10072	FBgn0261445				
dme00053	41334	9	Ugt35a	CG6644	FBgn0026315				
dme00053	41333	9	Ugt35b	CG6649	FBgn0026314				
dme00053	53513	9	Ugt36Ba	CG13270	FBgn0040262				
dme00053	53512	9	Ugt36Bb	CG13271	FBgn0040261				
dme00053	53511	9	Ugt36Bc	CG17932	FBgn0040260				
dme00053	35307	9	Ugt37a1	CG11012	FBgn0026756				
dme00053	53584	9	Ugt37b1	CG9481	FBgn0026755				
dme00053	53583	9	Ugt37c1	CG8652	FBgn0026754				
dme00053	37590	9	Ugt58Fa	CG4414	FBgn0040091				
dme00053	53507	9	Ugt86Dd	CG6633	FBgn0040256				
dme00053	53506	9	Ugt86De	CG6653	FBgn0040255				
dme00053	53504	9	Ugt86Dg	CG17200	FBgn0040253				
dme00053	53503	9	Ugt86Dh	CG4772	FBgn0040252				
dme00053	53502	9	Ugt86Di	CG6658	FBgn0040251				
dme00053	53501	9	Ugt86Dj	CG15902	FBgn0040250				
dme00061	35761	5	ACC	CG11198	FBgn0033246				
dme00061	46068	5	Acsl	CG8732	FBgn0263120				
dme00061	39910	3	beg	CG7842	FBgn0036691				
dme00061	44117	4	bgm	CG4501	FBgn0027348				
dme00061	40692	4	CG12170	CG12170	FBgn0037356				
dme00061	3355111	3	CG17374	CG17374	FBgn0040001				
dme00061	33524	3	CG3523	CG3523	FBgn0027571				
dme00061	40056	5	CG3961	CG3961	FBgn0036821				
dme00061	117361	3	v(2)k05816	CG3524	FBgn0042627				
dme00062	31703	4	CG1444	CG1444	FBgn0029975				
dme00062	36540	3	CG16935	CG16935	FBgn0033883				
dme00062	34614	4	CG6746	CG6746	FBgn0032394				
dme00062	36536	11	Dyak\GE13337	CG6543	FBgn0068271				
dme00062	317841	1	Elo68alpha	CG32072	FBgn0052072				
dme00062	39245	1	Elo68beta	CG11801	FBgn0036128				
dme00062	34276	12	Mtpalpha	CG4389	FBgn0028479				
dme00062	31805	4	Ppt1	CG12108	FBgn0030057				
dme00062	34564	4	Ppt2	CG4851	FBgn0032358				
dme00062	38457	4	Sc2	CG10849	FBgn0035471				
dme00062	37784	5	Thiolase	CG4581	FBgn0025352				
dme00062	34313	5	yip2	CG4600	FBgn0040064				
dme00071	37446	6	Acox57D-d	CG9709	FBgn0034629				
dme00071	37445	6	Acox57D-p	CG9707	FBgn0034628				
dme00071	46068	5	Acsl	CG8732	FBgn0263120				
dme00071	3771877	8	Adh	CG3481	FBgn0000055				
dme00071	34256	13	Aldh	CG3752	FBgn0012036				
dme00071	42364	6	Arc42	CG4703	FBgn0038742				
dme00071	44117	4	bgm	CG4501	FBgn0027348				
dme00071	31695	13	CG10932	CG10932	FBgn0029969				
dme00071	38864	7	CG12262	CG12262	FBgn0035811				
dme00071	38100	2	CG13890	CG13890	FBgn0035169				
dme00071	35213	6	CG17544	CG17544	FBgn0032775				
dme00071	38355	2	CG2107	CG2107	FBgn0035383				
dme00071	43244	13	CG31075	CG31075	FBgn0051075				
dme00071	40059	4	CG3902	CG3902	FBgn0036824				
dme00071	40056	5	CG3961	CG3961	FBgn0036821				
dme00071	31641	6	CG4586	CG4586	FBgn0029924				
dme00071	34315	1	CG4598	CG4598	FBgn0032160				
dme00071	41480	6	CG4860	CG4860	FBgn0037999				
dme00071	37028	6	CG5009	CG5009	FBgn0027572				
dme00071	37217	3	CG7461	CG7461	FBgn0034432				
dme00071	38147	13	CG9149	CG9149	FBgn0035203				
dme00071	33898	6	CG9527	CG9527	FBgn0031813				
dme00071	33911	4	CG9547	CG9547	FBgn0031824				
dme00071	40097	15	CG9629	CG9629	FBgn0036857				
dme00071	36536	11	Dyak\GE13337	CG6543	FBgn0068271				
dme00071	41311	9	Fdh	CG6598	FBgn0011768				
dme00071	34276	12	Mtpalpha	CG4389	FBgn0028479				
dme00071	37784	5	Thiolase	CG4581	FBgn0025352				
dme00071	36109	2	whd	CG12891	FBgn0261862				
dme00071	34313	5	yip2	CG4600	FBgn0040064				
dme00072	33978	5	CG10399	CG10399	FBgn0031877				
dme00072	31695	13	CG10932	CG10932	FBgn0029969				
dme00072	30972	3	CG13377	CG13377	FBgn0261446				
dme00072	38147	13	CG9149	CG9149	FBgn0035203				
dme00072	44154	5	Dsim\Hmgs	CG4311	FBgn0083433				
dme00072	38261	3	SCOT	CG1140	FBgn0035298				
dme00072	43512	3	sro	CG12068	FBgn0262112				
dme00100	32300	2	CG1998	CG1998	FBgn0030485				
dme00100	41033	1	CG8112	CG8112	FBgn0037612				
dme00130	40263	4	CG11796	CG11796	FBgn0036992				
dme00130	32381	7	CG1461	CG1461	FBgn0030558				
dme00130	32272	2	CG2453	CG2453	FBgn0030460				
dme00130	33777	2	CG7277	CG7277	FBgn0031713				
dme00130	35383	2	CG9249	CG9249	FBgn0032922				
dme00130	40988	2	Coq2	CG9613	FBgn0037574				
dme00130	44007	2	COQ7	CG14437	FBgn0029502				
dme00130	38194	1	GC	CG13927	FBgn0035245				
dme00130	3346188	1	Vkor	CG33544	FBgn0053544				
dme00190	31950	2	ATPsyndelta	CG2968	FBgn0028342				
dme00190	326144	2	ATPsynepsilonL	CG31477	FBgn0051477				
dme00190	37931	2	ATPsynF	CG4692	FBgn0035032				
dme00190	43507	2	ATPsyngamma	CG7610	FBgn0020235				
dme00190	37617	2	blw	CG3612	FBgn0011211				
dme00190	40066	2	CG14077	CG14077	FBgn0036830				
dme00190	318868	2	CG31644	CG31644	FBgn0051644				
dme00190	33776	2	CG31648	CG31648	FBgn0051648				
dme00190	37809	3	CG3803	CG3803	FBgn0034938				
dme00190	8673970	2	CG40472	CG40472	FBgn0085736				
dme00190	34394	3	CG5037	CG5037	FBgn0032222				
dme00190	41324	4	CG6629	CG6629	FBgn0037860				
dme00190	32439	2	CG9065	CG9065	FBgn0030610				
dme00190	35491	2	COX4L	CG10396	FBgn0033020				
dme00190	33919	2	COX5BL	CG11043	FBgn0031831				
dme00190	246451	2	COX6AL	CG30093	FBgn0050093				
dme00190	40995	1	COX7AL	CG18193	FBgn0037579				
dme00190	50246	2	COX7C	CG2249	FBgn0040773				
dme00190	43457	2	Cyt-c1L	CG14508	FBgn0039651				
dme00190	42291	2	Dere\GG23134	CG6030	FBgn0084213				
dme00190	35279	2	Dmau\CG10664	CG10664	FBgn0067237				
dme00190	43829	2	Dpse\ATPsyn-beta	CG11154	FBgn0243540				
dme00190	42808	4	Dpse\GA10165	CG10219	FBgn0070224				
dme00190	33918	2	Dpse\GA10709	CG11015	FBgn0070765				
dme00190	36998	2	Dpse\GA10997	CG11423	FBgn0071053				
dme00190	43073	2	Dpse\GA11278	CG11913	FBgn0071332				
dme00190	34925	2	Dpse\GA12146	CG13240	FBgn0072194				
dme00190	46040	2	Dpse\GA12710	CG14028	FBgn0072756				
dme00190	36991	2	Dpse\GA13018	CG14482	FBgn0073056				
dme00190	41432	2	Dpse\GA13206	CG14724	FBgn0073243				
dme00190	50178	2	Dpse\GA13724	CG15434	FBgn0073760				
dme00190	37228	4	Dpse\GA14410	CG17246	FBgn0074438				
dme00190	43693	2	Dpse\GA14517	CG1746	FBgn0074545				
dme00190	31762	2	Dpse\GA15341	CG2286	FBgn0075361				
dme00190	31604	2	Dpse\GA16565	CG3192	FBgn0076580				
dme00190	33443	2	Dpse\GA16708	CG3214	FBgn0076723				
dme00190	35590	4	Dpse\GA17170	CG3283	FBgn0077184				
dme00190	41745	2	Dpse\GA17372	CG3321	FBgn0077385				
dme00190	32586	2	Dpse\GA17519	CG3560	FBgn0077530				
dme00190	39846	2	Dpse\GA18004	CG4169	FBgn0243581				
dme00190	41845	2	Dpse\GA18097	CG4307	FBgn0078105				
dme00190	42759	2	Dpse\GA18167	CG4412	FBgn0078174				
dme00190	38612	2	Dpse\GA18418	CG4769	FBgn0078420				
dme00190	39761	2	Dpse\GA18845	CG5389	FBgn0078845				
dme00190	32434	2	Dpse\GA18962	CG5548	FBgn0078961				
dme00190	32740	2	Dpse\GA19069	CG5703	FBgn0079067				
dme00190	39348	4	Dpse\GA19081	CG5718	FBgn0079079				
dme00190	46069	2	Dpse\GA19355	CG6105	FBgn0079352				
dme00190	40477	2	Dpse\GA19953	CG6914	FBgn0079949				
dme00190	34054	2	Dpse\GA20182	CG7211	FBgn0080177				
dme00190	36695	2	Dpse\GA20825	CG8102	FBgn0080815				
dme00190	39143	2	Dpse\GA20881	CG8189	FBgn0080871				
dme00190	33744	2	Dpse\GA21258	CG8680	FBgn0081246				
dme00190	44228	2	Dpse\GA21363	CG8844	FBgn0081351				
dme00190	38154	2	Dpse\GA21583	CG9160	FBgn0081569				
dme00190	32565	2	Dpse\GA21592	CG9172	FBgn0081578				
dme00190	50002	1	Dpse\GA21907	CG9603	FBgn0081892				
dme00190	46260	2	Dpse\GA22016	CG9762	FBgn0082001				
dme00190	43798	2	Dpse\GA25154	CG1970	FBgn0086839				
dme00190	34747	2	Dpse\GA25406	CG9306	FBgn0246785				
dme00190	32989	2	Dsim\CG14235	CG14235	FBgn0067176				
dme00190	32936	2	Dyak\GE15845	CG12203	FBgn0068470				
dme00190	35944	4	Dyak\GE19265	CG8029	FBgn0068231				
dme00190	40390	2	Dyak\GE22321	CG7181	FBgn0068254				
dme00190	41340	4	Dyak\GE24640	CG6666	FBgn0068269				
dme00190	37728	2	levy	CG17280	FBgn0034877				
dme00190	19893539	2	mt:ATPase6	ATP6	FBgn0013672				
dme00190	19893538	2	mt:ATPase8	ATP8	FBgn0013673				
dme00190	19893533	2	mt:CoI	COX1	FBgn0013674				
dme00190	19893535	2	mt:CoII	COX2	FBgn0013675				
dme00190	19893540	2	mt:CoIII	COX3	FBgn0013676				
dme00190	19893556	2	mt:Cyt-b	CYTB	FBgn0013678				
dme00190	19893558	2	mt:ND1	ND1	FBgn0013679				
dme00190	19893529	2	mt:ND2	ND2	FBgn0013680				
dme00190	19893542	2	mt:ND3	ND3	FBgn0013681				
dme00190	19893551	2	mt:ND4	ND4	FBgn0013682				
dme00190	19893552	2	mt:ND4L	ND4L	FBgn0013683				
dme00190	19893549	2	mt:ND5	ND5	FBgn0013684				
dme00190	19893555	2	mt:ND6	ND6	FBgn0013685				
dme00190	39214	2	ND-13B	CG6463	FBgn0047038				
dme00190	33179	2	ND-15	CG11455	FBgn0031228				
dme00190	37946	2	ND-19	CG3683	FBgn0035046				
dme00190	43477	2	ND-20L	CG2014	FBgn0039669				
dme00190	44207	2	ND-23	CG3944	FBgn0017567				
dme00190	39926	1	ND-24L	CG6485	FBgn0036706				
dme00190	38378	2	ND-30	CG12079	FBgn0266582				
dme00190	40272	2	ND-39	CG6020	FBgn0037001				
dme00190	42591	2	ND-42	CG6343	FBgn0019957				
dme00190	33852	2	ND-51	CG9140	FBgn0031771				
dme00190	3355155	2	ND-AGGG	CG40002	FBgn0058002				
dme00190	37466	2	ND-B12	CG10320	FBgn0034645				
dme00190	36159	2	ND-B14	CG7712	FBgn0033570				
dme00190	31190	2	ND-B14.5A	CG3621	FBgn0025839				
dme00190	33528	2	ND-B14.5B	CG12400	FBgn0031505				
dme00190	37385	2	ND-B14.7	CG9350	FBgn0034576				
dme00190	36640	2	ND-B15	CG12859	FBgn0033961				
dme00190	31578	2	ND-B16.6	CG3446	FBgn0029868				
dme00190	317928	2	ND-MLRQ	CG32230	FBgn0052230				
dme00190	31697	2	ND-MNLL	CG18624	FBgn0029971				
dme00190	5740593	2	ND-MWFE	CG34439	FBgn0085468				
dme00190	42282	2	NP15.6	CG6008	FBgn0027785				
dme00190	37922	1	Nurf-38	CG4634	FBgn0016687				
dme00190	45401	2	ox	CG8764	FBgn0011227				
dme00190	44390	2	RFeSP	CG7361	FBgn0021906				
dme00190	32887	4	SdhBL	CG7349	FBgn0030975				
dme00190	44046	2	sun	CG9032	FBgn0014391				
dme00190	246560	2	UQCR-11L	CG30354	FBgn0050354				
dme00190	43369	2	UQCR-14L	CG17856	FBgn0039576				
dme00190	39950	2	UQCR-Q	CG7580	FBgn0036728				
dme00190	43442	4	Vha100-1	CG1709	FBgn0028671				
dme00190	42216	4	Vha100-2	CG18617	FBgn0028670				
dme00190	246543	4	Vha100-3	CG30329	FBgn0028669				
dme00190	42214	4	Vha100-4	CG7678	FBgn0038613				
dme00190	34587	4	Vha100-5	CG12602	FBgn0032373				
dme00190	42341	3	Vha13	CG6213	FBgn0026753				
dme00190	36731	3	Vha14-1	CG8210	FBgn0262512				
dme00190	40748	3	Vha14-2	CG1076	FBgn0037402				
dme00190	44307	4	Vha16-1	CG3161	FBgn0262736				
dme00190	39282	4	Vha16-2	CG32089	FBgn0028668				
dme00190	317846	4	Vha16-3	CG32090	FBgn0028667				
dme00190	36900	4	Vha16-4	CG9013	FBgn0262513				
dme00190	34482	4	Vha16-5	CG6737	FBgn0032294				
dme00190	40679	3	Vha26	CG1088	FBgn0015324				
dme00190	44702	3	Vha36-1	CG8186	FBgn0022097				
dme00190	36328	3	Vha36-2	CG13167	FBgn0033706				
dme00190	31235	3	Vha36-3	CG8310	FBgn0040377				
dme00190	36826	3	Vha44	CG8048	FBgn0262511				
dme00190	41550	3	Vha55	CG17369	FBgn0005671				
dme00190	45668	3	Vha68-1	CG12403	FBgn0265262				
dme00190	45012	3	Vha68-2	CG3762	FBgn0263598				
dme00190	34695	3	Vha68-3	CG5075	FBgn0032464				
dme00190	31342	4	VhaAC39-1	CG2934	FBgn0028665				
dme00190	38521	3	VhaM9.7-a	CG1268	FBgn0035521				
