gene_id	symbol	flybase
31284	CG14420	FBgn0029643
31285	CG14421	FBgn0029644
31286	CG14422	FBgn0029645
31287	CG14423	FBgn0029646
31288	CG17959	FBgn0029647
31289	CG3603	FBgn0029648
31290	rst	FBgn0003285
31291	CG4116	FBgn0029649
31292	kirre	FBgn0028369
31293	N	FBgn0004647
31294	Fcp3C	FBgn0000644
31295	CG3939	FBgn0040396
31297	CG14265	FBgn0040393
31298	ng2	FBgn0010294
31299	ng3	FBgn0010295
31300	ng1	FBgn0002933
31301	ng4	FBgn0010296
31303	Pig1	FBgn0003086
31304	Sgs4	FBgn0003374
31308	CG10793	FBgn0029656
31309	dnc	FBgn0000479
31310	dm	FBgn0262656
31311	CG12535	FBgn0029657
31312	CG14269	FBgn0029658
31313	CG16782	FBgn0029659
31314	CG10801	FBgn0029660
31315	CG16781	FBgn0029661
31316	CG12206	FBgn0029662
31317	CG10804	FBgn0029663
31318	CG10802	FBgn0029664
31319	CG14270	FBgn0029665
31320	CG10803	FBgn0029666
31321	Gas8	FBgn0029667
31322	CG32791	FBgn0052791
31323	CG13021	FBgn0029669
31326	CG2875	FBgn0029672
31328	Ilp7	FBgn0044046
31329	Parg	FBgn0023216
31331	Mnt	FBgn0023215
31332	Rala	FBgn0015286
31335	HIP-R	FBgn0029676
31336	fd3F	FBgn0264954
31338	CG2901	FBgn0029679
31339	ec	FBgn0000542
31340	yin	FBgn0265575
31341	CG2930	FBgn0028491
31342	VhaAC39-1	FBgn0028665
31343	CG15239	FBgn0029681
31344	CG42541	FBgn0260658
31347	CG2938	FBgn0029685
31348	CG2941	FBgn0029686
31349	Vap-33A	FBgn0029687
31350	lva	FBgn0029688
31351	CG6428	FBgn0029689
31352	CG6414	FBgn0029690
31353	CG43689	FBgn0263772
31355	CG6379	FBgn0029693
31356	CG15375	FBgn0029694
31357	Xpac	FBgn0004832
31358	brn	FBgn0000221
31359	cib	FBgn0026084
31361	dgt4	FBgn0026085
31362	Tip60	FBgn0026080
31363	tyf	FBgn0026083
31364	Fas2	FBgn0000635
31365	CG15571	FBgn0029696
31366	CG15570	FBgn0029697
31367	Femcoat	FBgn0041252
31368	Muc4B	FBgn0052774
31369	CG15576	FBgn0029700
31370	CG12691	FBgn0029701
31371	CG15572	FBgn0029702
31372	CG12692	FBgn0029703
31373	mei-9	FBgn0002707
31374	CG2982	FBgn0266570
31375	CG12693	FBgn0029705
31376	norpA	FBgn0262738
31377	CG3626	FBgn0029706
31378	CG12688	FBgn0029707
31379	bi	FBgn0000179
31380	CG3556	FBgn0029708
31381	rb	FBgn0003210
31382	CHOp24	FBgn0029709
31383	CG3568	FBgn0029710
31384	Usf	FBgn0029711
31385	CG15912	FBgn0029712
31386	CG11436	FBgn0029713
31387	CG3527	FBgn0029714
31388	CG11444	FBgn0029715
31389	CG3546	FBgn0029716
31390	CG12684	FBgn0029717
31391	peb	FBgn0003053
31392	CG12184	FBgn0025387
31393	CG12179	FBgn0025388
31394	pon	FBgn0025739
31395	CG3081	FBgn0025613
31396	CG3062	FBgn0025612
31397	HLH4C	FBgn0011277
31398	mRpL30	FBgn0029718
31399	Torsin	FBgn0025615
31401	CG15473	FBgn0029719
31402	CG3009	FBgn0029720
31404	Pp2C1	FBgn0022768
31405	ctp	FBgn0011760
31406	l(1)G0334	FBgn0028325
31407	CG7024	FBgn0029722
31408	Proc-R	FBgn0029723
31409	CG15472	FBgn0029724
31410	Bteb2	FBgn0025679
31411	CG2871	FBgn0029725
31412	CG15471	FBgn0029726
31413	CG6978	FBgn0029727
31414	CG2861	FBgn0029728
31415	CG12682	FBgn0029729
31416	CG12681	FBgn0029730
31419	CG6927	FBgn0029733
31420	CG32772	FBgn0052772
31422	CG4041	FBgn0029736
31423	CG6903	FBgn0029737
31424	CG44774	FBgn0266000
31425	Ptp4E	FBgn0004368
31426	SIP3	FBgn0061196
31427	CG12680	FBgn0029740
31429	ovo	FBgn0003028
31430	CG32767	FBgn0052767
31433	Rpn13R	FBgn0029745
31434	CG15465	FBgn0029746
31435	CG5062	FBgn0029747
31438	CG42749	FBgn0261803
31439	CG3323	FBgn0029750
31440	CG17764	FBgn0029751
31441	Cdk7	FBgn0263237
31442	snf	FBgn0003449
31443	TrxT	FBgn0029752
31444	dhd	FBgn0011761
31445	CG4198	FBgn0029753
31446	CG15930	FBgn0029754
31447	Sas10	FBgn0029755
31448	Rnp4F	FBgn0014024
31449	Mcm3	FBgn0024332
31450	CG3309	FBgn0029756
31451	XRCC1	FBgn0026751
31456	SK	FBgn0029761
31457	NAAT1	FBgn0029762
31458	CG4165	FBgn0029763
31459	spoon	FBgn0263987
31460	CG16756	FBgn0029765
31461	CG15784	FBgn0029766
31463	SPR	FBgn0029768
31464	frma	FBgn0029769
31465	CG4151	FBgn0029770
31466	CG12730	FBgn0029771
31469	Vsx2	FBgn0263512
31470	Vsx1	FBgn0263511
31471	CG34435	FBgn0085464
31472	CG34434	FBgn0250904
31473	RhoGAP5A	FBgn0029778
31474	Mlc-c	FBgn0004687
31475	l(1)G0045	FBgn0026702
31480	Sirt4	FBgn0029783
31481	CG4119	FBgn0028474
31483	RpL35	FBgn0029785
31486	CG42449	FBgn0259926
31487	CG3160	FBgn0029789
31489	CG3149	FBgn0027564
31490	CG4096	FBgn0029791
31491	CG33080	FBgn0053080
31493	CG32758	FBgn0052758
31494	CG15773	FBgn0029795
31496	IntS6	FBgn0261383
31497	CG4078	FBgn0029798
31498	CG15772	FBgn0029799
31499	lin-52	FBgn0029800
31500	CG15771	FBgn0029801
31503	CG3097	FBgn0029804
31504	CG42264	FBgn0259149
31506	CG3108	FBgn0029807
31507	CG42699	FBgn0261610
31508	CG15767	FBgn0029809
31509	CG12239	FBgn0029810
31510	Cpr5C	FBgn0029811
31511	Prosbeta2R1	FBgn0029812
31512	CG15766	FBgn0029813
31513	CG15765	FBgn0029814
31515	CG12729	FBgn0029816
31516	CG15764	FBgn0029817
31517	GAA1	FBgn0029818
31518	mof	FBgn0014340
31519	CG3016	FBgn0029819
31520	CG16721	FBgn0029820
31521	Act5C	FBgn0000042
31522	CG4020	FBgn0029821
31523	CG12236	FBgn0029822
31524	CG3011	FBgn0029823
31525	CG3726	FBgn0029824
31526	CG12728	FBgn0029825
31527	CG6041	FBgn0029826
31528	CG6048	FBgn0029827
31529	CG6067	FBgn0029828
31532	CG5966	FBgn0029831
31533	CG4766	FBgn0027546
31535	rux	FBgn0003302
31536	CG5941	FBgn0029833
31537	CG5937	FBgn0029834
31538	CG5921	FBgn0029835
31539	CG5928	FBgn0029836
31540	Tsp5D	FBgn0029837
31541	CG4666	FBgn0029838
31542	CG4660	FBgn0029839
31543	raptor	FBgn0029840
31544	Mipp2	FBgn0026060
31547	Nep1	FBgn0029843
31550	Ca-alpha1T	FBgn0264386
31551	vanin-like	FBgn0040069
31552	Btd	FBgn0029848
31553	Efr	FBgn0029849
31554	sqh	FBgn0003514
31555	CG14446	FBgn0262730
31556	CG14445	FBgn0029851
31557	Rbcn-3A	FBgn0023458
31558	Spx	FBgn0015818
31560	CG3781	FBgn0029853
31562	CG3566	FBgn0029854
31564	CG11700	FBgn0029856
31565	Top3beta	FBgn0026015
31566	wuho	FBgn0029857
31567	Rpt4	FBgn0028685
31568	CG15896	FBgn0029858
31571	CG3815	FBgn0029861
31572	CG12219	FBgn0043796
31573	CG3823	FBgn0029863
31574	CG15894	FBgn0029864
31576	CG3842	FBgn0029866
31577	CG3847	FBgn0029867
31578	CG3446	FBgn0029868
31579	kdn	FBgn0261955
31580	swa	FBgn0003655
31581	Marf	FBgn0029870
31582	PpV	FBgn0003139
31585	CG3918	FBgn0029873
31586	CG3342	FBgn0029874
31587	Spat	FBgn0014031
31588	RpL7A	FBgn0014026
31589	dx	FBgn0000524
31591	CG34417	FBgn0085446
31592	CG17717	FBgn0029877
31593	Pat1	FBgn0029878
31594	APC7	FBgn0029879
31595	CG14443	FBgn0029880
31596	pigs	FBgn0029881
31597	CG3226	FBgn0029882
31598	l(1)G0148	FBgn0028360
31600	CG3224	FBgn0029885
31601	Ctr1A	FBgn0062413
31602	CG3198	FBgn0029887
31603	Mcm6	FBgn0025815
31604	CG3192	FBgn0029888
31605	l(1)G0255	FBgn0028336
31606	CG4095	FBgn0029890
31607	Pink1	FBgn0029891
31608	CG3184	FBgn0029892
31609	CG14442	FBgn0029893
31610	CG14440	FBgn0029894
31611	CG14441	FBgn0029895
31612	CG3168	FBgn0029896
31613	RpL17	FBgn0029897
31614	CG14439	FBgn0029898
31615	CG14438	FBgn0029899
31617	shf	FBgn0003390
31618	C3G	FBgn0259228
31620	pod1	FBgn0029903
31621	iav	FBgn0086693
31622	Nf-YC	FBgn0029905
31623	xit	FBgn0029906
31624	Atx-1	FBgn0029907
31625	nonC	FBgn0263968
31626	CG12796	FBgn0029909
31628	CG14435	FBgn0029911
31629	CG4557	FBgn0029912
31630	Cht11	FBgn0029913
31631	CG4558	FBgn0029914
31632	CG14434	FBgn0029915
31638	CG32732	FBgn0052732
31639	CG14431	FBgn0029922
31641	CG4586	FBgn0029924
31642	CG3040	FBgn0029925
31644	bou	FBgn0261284
31645	Inx6	FBgn0027107
31646	Inx2	FBgn0027108
31647	cm	FBgn0000330
31648	CG3032	FBgn0029928
31649	CG4593	FBgn0029929
31650	CG12541	FBgn0029930
31651	CG14427	FBgn0029931
31652	nullo	FBgn0004143
31653	CG4607	FBgn0029932
31656	CG4615	FBgn0029935
31657	CG4617	FBgn0029936
31658	CG8300	FBgn0029937
31659	fz4	FBgn0027342
31660	CG9650	FBgn0029939
31661	CG1958	FBgn0029940
31662	CG1677	FBgn0029941
31663	CG2059	FBgn0029942
31664	unc-119	FBgn0025549
31665	brk	FBgn0024250
31666	Atg5	FBgn0029943
31667	Dok	FBgn0029944
31668	CG18155	FBgn0029945
31669	CBP	FBgn0026144
31670	CG15034	FBgn0029946
31671	CG1999	FBgn0029947
31672	CheA7a	FBgn0029948
31673	CG15035	FBgn0029949
31674	CG9657	FBgn0029950
31675	CG11369	FBgn0029951
31676	CG12689	FBgn0029952
31678	CHES-1-like	FBgn0029504
31679	CG15478	FBgn0029955
31680	Hira	FBgn0022786
31681	NELF-B	FBgn0027553
31682	CG12155	FBgn0029957
31683	Pdp	FBgn0029958
31684	Rab39	FBgn0029959
31686	Ir7a	FBgn0029961
31687	CG1402	FBgn0029962
31688	CG10920	FBgn0029963
31689	CG1409	FBgn0029964
31690	Ir7b	FBgn0029965
31691	1-Dec	FBgn0000427
31692	Ir7c	FBgn0029966
31694	Ir7g	FBgn0029968
31695	CG10932	FBgn0029969
31696	Nek2	FBgn0029970
31697	CG18624	FBgn0029971
31698	p115	FBgn0040087
31700	RpS6	FBgn0261592
31701	bys	FBgn0010292
31702	dpr14	FBgn0029974
31703	CG1444	FBgn0029975
31704	snz	FBgn0029976
31705	hdm	FBgn0029977
31706	Ykt6	FBgn0260858
31707	CG10777	FBgn0029979
31708	CG10778	FBgn0029980
31712	l(1)G0193	FBgn0027280
31713	CG42593	FBgn0260970
31714	CG15332	FBgn0029986
31715	CG15330	FBgn0029987
31716	sws	FBgn0003656
31717	sn	FBgn0003447
31718	Tbh	FBgn0010329
31720	CG15333	FBgn0029989
31721	CG2233	FBgn0029990
31722	fs(1)h	FBgn0004656
31724	Upf2	FBgn0029992
31725	CG1571	FBgn0029993
31726	CG2254	FBgn0029994
31727	CG2256	FBgn0029995
31728	Ubc-E2H	FBgn0029996
31729	CG2258	FBgn0029997
31731	CG1575	FBgn0029999
31732	CG2260	FBgn0030000
31733	cyr	FBgn0030001
31735	CG2116	FBgn0030003
31736	CG10958	FBgn0030004
31737	CG2120	FBgn0030005
31738	Smox	FBgn0025800
31739	CG17982	FBgn0030006
31740	CG2263	FBgn0030007
31741	CG2129	FBgn0030008
31742	CG15336	FBgn0030009
31743	CG10959	FBgn0030010
31744	Gbeta5	FBgn0030011
31745	CG18262	FBgn0030012
31746	Traf6	FBgn0265464
31747	GIIIspla2	FBgn0030013
31748	CG15337	FBgn0030014
31749	CG10761	FBgn0030015
31750	Or7a	FBgn0030016
31751	CG2278	FBgn0030017
31759	CG2147	FBgn0030025
31760	Trxr-1	FBgn0020653
31761	sni	FBgn0030026
31762	ND75	FBgn0017566
31763	CG1632	FBgn0030027
31764	Corp	FBgn0030028
31765	CG15343	FBgn0030029
31766	CG1636	FBgn0030030
31767	nAChRalpha3	FBgn0015519
31770	CG1387	FBgn0030033
31771	CG10555	FBgn0030034
31772	CG11190	FBgn0030035
31773	Trf2	FBgn0261793
31775	CG12125	FBgn0030037
31776	CG1440	FBgn0030038
31777	CG12123	FBgn0030039
31778	org-1	FBgn0021767
31779	CG15347	FBgn0030040
31780	Es2	FBgn0023506
31781	Sptr	FBgn0014032
31782	CG12116	FBgn0030041
31785	Cp7Fb	FBgn0014465
31786	Cp7Fc	FBgn0014466
31787	Cp36	FBgn0000359
31788	Cp38	FBgn0000360
31789	otu	FBgn0003023
31791	PIP82	FBgn0024943
31792	Nrg	FBgn0264975
31793	IntS4	FBgn0026679
31794	CG12112	FBgn0030048
31795	Trf4-1	FBgn0030049
31796	CG12111	FBgn0030050
31797	spirit	FBgn0030051
31798	CG12065	FBgn0030052
31799	CG12081	FBgn0030053
31800	Crag	FBgn0025864
31801	Caf1-180	FBgn0030054
31802	oc	FBgn0004102
31803	CG12772	FBgn0030055
31804	CG11284	FBgn0030056
31805	Ppt1	FBgn0030057
31806	Ogg1	FBgn0027864
31807	CG11294	FBgn0030058
31808	Hexo2	FBgn0041629
31809	CG2004	FBgn0030060
31810	CG1785	FBgn0030061
31811	l(1)G0020	FBgn0027330
31812	CG1789	FBgn0030063
31813	Lim1	FBgn0026411
31815	CG12075	FBgn0030065
31816	Moe	FBgn0011661
31817	CG1885	FBgn0030066
31818	Rbm13	FBgn0030067
31822	CG12661	FBgn0030071
31824	CG10962	FBgn0030073
31825	CG12662	FBgn0030074
31826	rdgA	FBgn0261549
31829	CG15365	FBgn0030077
31830	CG10970	FBgn0030078
31831	CG44325	FBgn0265413
31833	CG7246	FBgn0030081
31834	HP1b	FBgn0030082
31835	APC4	FBgn0052707
31837	CG6999	FBgn0030085
31838	CG7033	FBgn0030086
31839	CG7766	FBgn0030087
31840	Bx42	FBgn0004856
31841	Arfrp1	FBgn0030088
31842	AP-1gamma	FBgn0030089
31843	fend	FBgn0030090
31844	CG7065	FBgn0030091
31845	fh	FBgn0030092
31846	dalao	FBgn0030093
31848	His3.3B	FBgn0004828
31849	Ost48	FBgn0014868
31851	Zpr1	FBgn0030096
31853	CG12115	FBgn0030097
31854	CG12057	FBgn0030098
31855	CG12056	FBgn0030099
31856	CG12106	FBgn0030100
31857	CG12118	FBgn0030101
31858	su(r)	FBgn0086450
31859	CG12119	FBgn0030102
31860	Obp8a	FBgn0030103
31861	CG15368	FBgn0030104
31862	CG15369	FBgn0030105
31863	t	FBgn0086367
31864	CG15370	FBgn0030107
31865	Gr8a	FBgn0030108
31866	CG12121	FBgn0030109
31867	Ir8a	FBgn0052704
31869	mxc	FBgn0260789
31872	Dsor1	FBgn0010269
31873	CG17754	FBgn0030114
31874	ric8a	FBgn0028292
31877	Erk7	FBgn0052703
31879	CG17440	FBgn0030120
31880	Cfp1	FBgn0030121
31881	CG16892	FBgn0030122
31883	lz	FBgn0002576
31887	CG34449	FBgn0085478
31890	BCL7-like	FBgn0026149
31896	CG32700	FBgn0267253
31897	RpS28b	FBgn0030136
31898	CG15317	FBgn0030137
31899	CG32699	FBgn0052699
31902	Gga	FBgn0030141
31903	Lst8	FBgn0264691
31904	Aats-lys	FBgn0027084
31905	CG42797	FBgn0261931
31907	l(1)G0232	FBgn0028341
31909	CG3106	FBgn0030148
31912	btd	FBgn0000233
31913	Sp1	FBgn0020378
31914	CG1354	FBgn0030151
31915	CG32698	FBgn0052698
31917	Ser7	FBgn0019929
31918	CG32695	FBgn0052695
31919	CG15247	FBgn0030156
31920	CG1468	FBgn0030157
31921	CG9686	FBgn0030158
31922	CG9689	FBgn0030159
31923	CG9691	FBgn0030160
31924	CG15249	FBgn0030161
31925	CG1986	FBgn0030162
31926	Idgf4	FBgn0026415
31927	CG1791	FBgn0030163
31928	CG1889	FBgn0030164
31929	CG43386	FBgn0263216
31931	CG15252	FBgn0030167
31933	CG32694	FBgn0052694
31934	CG2990	FBgn0030170
31935	Cht6	FBgn0263132
31938	Yp2	FBgn0005391
31939	Yp1	FBgn0004045
31940	CG15312	FBgn0030174
31942	ZAP3	FBgn0052685
31943	CG2972	FBgn0030177
31944	CG2974	FBgn0030178
31945	RhoU	FBgn0083940
31947	CG12645	FBgn0030181
31948	CG43902	FBgn0264503
31949	CG15309	FBgn0030183
31950	l(1)G0230	FBgn0028342
31952	CG2962	FBgn0030186
31953	CG34408	FBgn0085437
31954	Ipod	FBgn0030187
31955	Hk	FBgn0263220
31957	alpha-Man-I	FBgn0259170
31958	CG2909	FBgn0030189
31960	Gip	FBgn0011770
31961	CG15306	FBgn0030191
31962	CG43740	FBgn0263997
31964	l(1)G0289	FBgn0028331
31965	CG17841	FBgn0028480
31966	CG2898	FBgn0030195
31967	Psf3	FBgn0030196
31970	CG32683	FBgn0052683
31971	RabX2	FBgn0030200
31973	CG12640	FBgn0030202
31975	Or9a	FBgn0030204
31976	nocte	FBgn0261710
31977	CG2889	FBgn0030206
31978	CG2887	FBgn0030207
31979	PPP4R2r	FBgn0030208
31980	CG32687	FBgn0052687
31986	CG15296	FBgn0030215
31987	spri	FBgn0085443
31988	Hmr	FBgn0001206
31989	CG2124	FBgn0030217
31990	CG1628	FBgn0030218
31991	CG43347	FBgn0263072
31993	Rab9Db	FBgn0030221
31994	CG9806	FBgn0030222
31995	CG2111	FBgn0030223
31996	CG12637	FBgn0030224
31997	X11Lbeta	FBgn0052677
32000	BTBD9	FBgn0030228
32001	Atg8a	FBgn0052672
32002	Rph	FBgn0030230
32005	CG32676	FBgn0052676
32006	CG15211	FBgn0030234
32007	sesB	FBgn0003360
32008	Ant2	FBgn0025111
32009	Imp	FBgn0262735
32011	CG15209	FBgn0030237
32013	CG17333	FBgn0030239
32014	CG2202	FBgn0030240
32015	feo	FBgn0030241
32016	sofe	FBgn0030242
32017	CG2186	FBgn0030243
32018	CG2157	FBgn0030244
32019	CG1637	FBgn0030245
32020	Ork1	FBgn0017561
32021	CG1582	FBgn0030246
32022	CG15208	FBgn0030247
32024	CG43901	FBgn0264502
32026	v	FBgn0003965
32027	CG2145	FBgn0030251
32028	Myo10A	FBgn0263705
32029	Rab9Fb	FBgn0052670
32032	C901	FBgn0021742
32033	CG42339	FBgn0259241
32034	CG11160	FBgn0030257
32035	CG1552	FBgn0030258
32036	CG1545	FBgn0030259
32037	CG1537	FBgn0030260
32038	CG15203	FBgn0030261
32039	sev	FBgn0003366
32040	Vago	FBgn0030262
32041	CG2076	FBgn0030263
32042	CG2061	FBgn0027498
32043	CG42249	FBgn0259101
32045	Hsp60	FBgn0015245
32046	CG11122	FBgn0030266
32047	Rpt3	FBgn0028686
32049	Klp10A	FBgn0030268
32050	CG18292	FBgn0030269
32051	CG15199	FBgn0030270
32052	CG15202	FBgn0030271
32053	CG15201	FBgn0030272
32055	Lint-1	FBgn0030274
32056	rtv	FBgn0261277
32057	Dlic	FBgn0030276
32058	antdh	FBgn0026268
32059	CG1394	FBgn0030277
32060	CG15200	FBgn0030278
32062	CG11106	FBgn0030280
32063	CG44422	FBgn0265595
32065	CG15198	FBgn0030283
32067	Ir10a	FBgn0083979
